Id,SalePrice
1461,125461.4
1462,172850.0
1463,183930.0
1464,195920.0
1465,200250.0
1466,176739.0
1467,175270.0
1468,168220.0
1469,183895.0
1470,126000.0
1471,204200.0
1472,88450.0
1473,100500.0
1474,152050.0
1475,126600.0
1476,317522.2
1477,239569.6
1478,256529.3
1479,227547.9
1480,426240.6
1481,289716.8
1482,215540.0
1483,189978.2
1484,173135.0
1485,173609.8
1486,202295.0
1487,312300.4
1488,218273.5
1489,201561.0
1490,204020.0
1491,195340.0
1492,104430.0
1493,206750.0
1494,305332.4
1495,308542.4
1496,226290.0
1497,196195.0
1498,156198.5
1499,155898.5
1500,151223.3
1501,164313.3
1502,152870.0
1503,316497.3
1504,248080.0
1505,214950.0
1506,171640.0
1507,215990.0
1508,186300.0
1509,164940.0
1510,142100.0
1511,142040.0
1512,174941.4
1513,139915.0
1514,172170.0
1515,185433.7
1516,165300.0
1517,164530.0
1518,131365.0
1519,233580.0
1520,134087.5
1521,130297.5
1522,176840.0
1523,113640.0
1524,118855.0
1525,133945.0
1526,123850.0
1527,105040.0
1528,143810.0
1529,137462.5
1530,177180.0
1531,118590.0
1532,107340.0
1533,165200.0
1534,120175.0
1535,172680.0
1536,132493.4
1537,98690.0
1538,183790.0
1539,207545.6
1540,134238.7
1541,147150.0
1542,158130.0
1543,191500.0
1544,86790.0
1545,118700.0
1546,137450.0
1547,124350.0
1548,138425.0
1549,115680.0
1550,128986.4
1551,141180.0
1552,127200.0
1553,152870.0
1554,106330.0
1555,175700.0
1556,91500.0
1557,152345.0
1558,96700.0
1559,108750.0
1560,162540.0
1561,173190.0
1562,130885.5
1563,119590.0
1564,155510.0
1565,146320.0
1566,191730.0
1567,91030.0
1568,221047.9
1569,177200.0
1570,135500.0
1571,128646.4
1572,148815.0
1573,233250.0
1574,115050.0
1575,223928.0
1576,227750.0
1577,200431.0
1578,144450.0
1579,149740.0
1580,185550.0
1581,149405.0
1582,123996.4
1583,376611.8
1584,240100.0
1585,139700.0
1586,92450.0
1587,98500.0
1588,147690.0
1589,107300.0
1590,136100.0
1591,93840.0
1592,129430.0
1593,117840.0
1594,163250.0
1595,126333.4
1596,215695.0
1597,170050.0
1598,194043.2
1599,208400.0
1600,192900.0
1601,77740.0
1602,124595.0
1603,101150.0
1604,256050.0
1605,282521.3
1606,161000.0
1607,169540.0
1608,213864.2
1609,195482.5
1610,142336.4
1611,136280.0
1612,163520.0
1613,169520.0
1614,126136.0
1615,84150.0
1616,82950.0
1617,100800.0
1618,119507.5
1619,150465.0
1620,162340.0
1621,146500.0
1622,125306.4
1623,305490.0
1624,226979.0
1625,123555.0
1626,176660.0
1627,195445.0
1628,322362.4
1629,171030.0
1630,466600.0
1631,238870.0
1632,294320.0
1633,167500.0
1634,188050.0
1635,183039.0
1636,177680.0
1637,180290.0
1638,200960.0
1639,179145.0
1640,261106.0
1641,203640.0
1642,210246.8
1643,230839.3
1644,247769.0
1645,176095.0
1646,147540.0
1647,153880.0
1648,132285.0
1649,137580.0
1650,120930.0
1651,119440.0
1652,90350.0
1653,107040.0
1654,161115.0
1655,158050.0
1656,154950.0
1657,161300.0
1658,155340.0
1659,135790.0
1660,144346.0
1661,453774.1
1662,382608.5
1663,386989.6
1664,477850.0
1665,283734.1
1666,356532.6
1667,357120.0
1668,320180.0
1669,281896.1
1670,347491.9
1671,255546.0
1672,473485.9
1673,298651.3
1674,234860.0
1675,191185.0
1676,180905.0
1677,211514.1
1678,476423.3
1679,371267.2
1680,348994.6
1681,276260.3
1682,296512.0
1683,181551.0
1684,181662.0
1685,173788.0
1686,163717.0
1687,162576.5
1688,189730.0
1689,197520.0
1690,193828.0
1691,174100.0
1692,264525.0
1693,167476.5
1694,188440.0
1695,168000.0
1696,270310.0
1697,167130.0
1698,391646.2
1699,381000.0
1700,230571.8
1701,271450.0
1702,245890.6
1703,243995.0
1704,307012.4
1705,218550.0
1706,510652.9
1707,207727.5
1708,207836.6
1709,238301.2
1710,209340.0
1711,265568.5
1712,214089.3
1713,235518.5
1714,229025.0
1715,197950.0
1716,188362.5
1717,169504.0
1718,135480.0
1719,200690.0
1720,272490.0
1721,180710.0
1722,130233.2
1723,153623.2
1724,210375.0
1725,231750.0
1726,190733.7
1727,186547.3
1728,198490.0
1729,159727.0
1730,166450.0
1731,132550.0
1732,123220.0
1733,112553.3
1734,129420.0
1735,135700.0
1736,118905.0
1737,374550.0
1738,222745.3
1739,251791.5
1740,181213.2
1741,187243.3
1742,168890.0
1743,166173.3
1744,329749.5
1745,205362.8
1746,222290.0
1747,205000.0
1748,224900.0
1749,157150.0
1750,150515.0
1751,217400.0
1752,118716.4
1753,137590.0
1754,189390.0
1755,176020.0
1756,127170.0
1757,115930.0
1758,137883.7
1759,161300.0
1760,160673.7
1761,153373.7
1762,153160.0
1763,171310.0
1764,118550.0
1765,182240.0
1766,167590.0
1767,221100.0
1768,140900.0
1769,161250.0
1770,137500.0
1771,136025.0
1772,145670.0
1773,156423.7
1774,130860.0
1775,132400.0
1776,117800.0
1777,115150.0
1778,131350.0
1779,103765.0
1780,205580.0
1781,129360.0
1782,82625.0
1783,140670.0
1784,101500.0
1785,106175.0
1786,130000.0
1787,161800.0
1788,65070.0
1789,113670.0
1790,84300.0
1791,161850.0
1792,156145.0
1793,150770.0
