Id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,TotalBsmtSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Expensive_Neighborhood,HomeQuality,YearsSinceLastRemodel,House_SF,Total_Baths
1,8450,7,5,2003,2003,196.0,150,856,0,1710,3,1,8,0,2003.0,2,548,0,61,0,0,0,0,0,2,2008,12.24769911637256,0,0,1,0,0,0,1,0,0.0,12,5,2416,3.8
2,9600,6,8,1976,1976,0.0,284,1262,0,1262,3,1,6,1,1976.0,2,460,298,0,0,0,0,0,0,5,2007,12.109016442313738,0,0,0,1,0,0,0,1,0.0,14,31,2240,2.8
3,11250,7,5,2001,2002,162.0,434,920,0,1786,3,1,6,1,2001.0,2,608,0,42,0,0,0,0,0,9,2008,12.317171167298682,0,0,1,0,0,0,1,0,0.0,12,6,2272,3.8
4,9550,7,5,1915,1970,0.0,540,756,0,1717,3,1,7,1,1998.0,3,642,0,35,272,0,0,0,0,2,2006,11.849404844423074,0,0,0,1,0,0,1,0,1.0,12,36,1933,2.0
5,14260,8,5,2000,2000,350.0,490,1145,0,2198,4,1,9,1,2000.0,3,836,192,84,0,0,0,0,0,12,2008,12.429220196836383,0,0,1,0,0,0,1,0,1.0,13,8,2853,3.8
6,14115,5,5,1993,1995,0.0,64,796,0,1362,1,1,5,0,1993.0,2,480,40,30,0,320,0,0,700,10,2009,11.870606902224587,0,0,0,1,0,0,0,1,0.0,10,14,2094,2.8
7,10084,8,5,2004,2005,186.0,317,1686,0,1694,3,1,7,1,2004.0,2,636,255,57,0,0,0,0,0,8,2007,12.634606283893019,0,0,1,0,0,0,1,0,1.0,13,2,3063,3.0
8,10382,7,6,1973,1973,240.0,216,1107,0,2090,3,1,7,2,1973.0,2,484,235,204,228,0,0,0,350,11,2009,12.206077645517674,0,0,0,1,0,0,0,1,0.0,13,36,2981,3.8
9,6120,7,5,1931,1950,0.0,952,952,0,1774,2,2,8,2,1931.0,2,468,90,0,205,0,0,0,0,4,2008,11.774527900858468,0,0,0,1,0,0,0,1,0.0,12,58,1774,2.0
10,7420,5,6,1939,1950,0.0,140,991,0,1077,2,2,5,2,1939.0,1,205,0,4,0,0,0,0,0,1,2008,11.678448377988165,0,0,0,1,0,0,0,1,0.0,11,58,1928,2.0
